ResultID,MainStoryPac,LoopNum,StoryNum,EndingString,BattleResult,Text_Kr,Text_En
11001,1000001,101,10000001,,20000001,"첫 전투에서 큰 공훈을 세웠다.앞으로의 활약이 기대되는 지휘관이라는 평이 들려온다.",
11002,1000001,101,10000001,,20000002,첫 술에 배부를 순 없다. 적군을 잘 막았다는 것에 의의를 두자.,
11003,1000001,101,10000001,,20000003,"아직 이 부대에 적응하지 못한걸까.. 이번 전투는 연습이라고 생각하자.",
11004,1000001,101,10000002,,20000001,"물자 부족이지만 잘 이겨냈다.. 정리가 되는대로 미셸에게 연락해야겠다.",
11005,1000001,101,10000002,,20000002,"잘 견뎌냈다. 물자 부족의 여파가 이리 강하다니.. 어서 연락해야겠다.",
11006,1000001,101,10000002,,20000003,"이번 패착은 물자 부족이다.. 다음 전투에선 먼저 물자를 확보해야 겠어.",
11007,1000001,101,10000003,,20000001,"우리 병사들이 만들어낸 승리이다. 하지만 점점 전쟁이 길어지니 다들 힘들어 하는군.",
11008,1000001,101,10000003,,20000002,"이번 전투도 잘 버텨냈다.. 병사들의 사기가 저하되고 있는 것이 심해지고 있다.",
11010,1000001,101,10000003,,20000003,"이번 전투를 반면교사 삼아 다음 번은 승리하리. 아군의 사기 저하를 올릴 방법을 찾아 봐야겠다.",
11011,1000001,101,10000004,,20000001,포로들에게서 얻어낸 정보덕에 전투의 우위를 차지 할 수 있었다.,
11012,1000001,101,10000004,,20000002,"좀 더 빠르게 정보를 얻어낼 수 있었다면.. 우위를 차지 했을 것이다.",
11013,1000001,101,10000004,,20000003,간발의 차로 패배했다.. 정보전의 소중함을 알게된 것 같다.,
11014,1000001,101,10000005,,20000001,"박사의 무기들은 확실히 전투에 승리에 도움이 많이된다. 하지만 그를 믿을 수 있는가?",
11015,1000001,101,10000005,,20000002,"조금 밀렸으나 박사의 무기들로 잘 버텨냈다. 박사의 실력만은 확실하다.",
11016,1000001,101,10000005,,20000003,박사의 무기들이 없었다면 대패했을 것이다.. 그나마 다행이다.,
11017,1000001,101,10000006,,20000001,드디어 전쟁의 끝이 보인다. 우린 잘 이겨낼 것이다.,
11018,1000001,101,10000006,,20000002,"전쟁의 끝이 보여온다. 이번 전투는 과연 어떤 영향을 미치게 될 것인가?",
11019,1000001,101,10000006,,20000003,이번 전투가 계속된 전쟁에 어떤 영향을 미칠까.. 슬슬 지쳐간다.,
11020,1000001,102,10000010,1001,20000001,나의 첫 승리다. 대체 왜일까? 이 기쁨이 왠지 익숙하다.,
11021,1000001,102,10000010,1001,20000002,첫술에 배부를 수는 없는법! 아니.. 내가 이말을 했던가?,
11022,1000001,102,10000010,1001,20000003,첫 전투는 언제나 탐색전이다. 몸풀기는 끝났으니 이제 부터다.,
11023,1000001,102,10000011,1001,20000001,"넉넉하지 않은 물자에도 병사들이 해냈다. 그들을 위해 포상이라도 준비해야 겠다.",
11024,1000001,102,10000011,1001,20000002,"잘 견뎌냈지만.. 역시 물자가 중요하다! 어서 미셸에게 전화해 봐야겠군.",
11025,1000001,102,10000011,1001,20000003,"아쉽다.. 우리가 물자만 있었더라면 이겼을 텐데.. 어서 물자 보충을 해야겠어.",
11026,1000001,102,10000012,1001,20000001,"전쟁이 길어지니 병사들이 지쳐가는 것이 느껴진다. 하지만 잘 이겨내줘 고마울 뿐이다.",
11027,1000001,102,10000012,1001,20000002,"적진의 사기도 떨어진게 느껴진다. 더 늦기전에 우리 군의 사기를 올릴 방법을 생각해 봐야겠다.",
11028,1000001,102,10000012,1001,20000003,이번의 쓰라린 패배를 교훈 삼아 다음 전투에선 반드시 승리하리..,
11029,1000001,102,10000013,1001,20000001,"추운 겨울을 이겨낸 듯 이번 전투도 잘 이겨냈다. 잘 버텨줬다. 프란츠의 아들들이여.",
11030,1000001,102,10000013,1001,20000002,이 겨울의 마지막 전투는 양국의 피해만을 남기고 끝나게 되었다.,
11031,1000001,102,10000013,1001,20000003,추운 겨울.. 패배는 더욱 쓰라리게 느껴지는 것 같다..,
11032,1000001,102,10000014,1001,20000001,"박사의 기술들이 전투에 많은 도움이 되긴한다. 분명 뛰어난 신기술은 전쟁을 승리로 이끌어 줄 것이다.",
11033,1000001,102,10000014,1001,20000002,"박사의 기술들이 없었더라면.. 박사가 함께 있는게 정말 도움이 크다.",
11034,1000001,102,10000014,1001,20000003,좀 더 화력을 높여하 하는걸까.. 패배 요인을 조사해야겠다.,
11035,1000001,102,10000015,1001,20000001,드디어 전쟁도 끝이 보인다. 우리 병사들은 용감히 싸워주고 있다.,
11036,1000001,102,10000015,1001,20000002,이번 전투는 과연 전쟁의 끝에 어떤 영향을 미치게 될까?,
11037,1000001,102,10000015,1001,20000003,"너무 많은 병사들이 죽었다.. 슬픔이 가득한 마지막은 아니길 빌어본다.",
11038,1000001,103,10000019,1002,20000001,"부임 후 첫 전투부터 승리라니. 병사들의 신임하는 눈빛이 느껴진다.",
11039,1000001,103,10000019,1002,20000002,"나를 알고 적을 알면 이길 수 있을 것이다. 이번엔 탐색전일 뿐이다.",
11040,1000001,103,10000019,1002,20000003,아직 시작이다. 너무 이 결과에 연연하지 말자.,
11041,1000001,103,10000020,1002,20000001,"모든게 부족한 상황에서 병사들이 만들어낸 기적이다. 위대한 프란츠의 아들들이여!",
11042,1000001,103,10000020,1002,20000002,"이만큼 견뎌준 것도 대단한 것이다. 물자 보급을 위해 힘쓸 시간이다.",
11043,1000001,103,10000020,1002,20000003,다친 병사들이 많다. 어서 미셸에게 연락해 봐야겠다.,
11044,1000001,103,10000021,1002,20000001,"병사들이 지쳐가는 것이 느껴진다. 하지만 이런 상황에서도 승리로 이끄는게 지휘관의 역량아닐까.",
11045,1000001,103,10000021,1002,20000002,"폐허가 된 전장에서 두 나라 모두 서서히 거리를 벌린다. 우리군 만큼이나 적군의 피해도 크다.",
11046,1000001,103,10000021,1002,20000003,"이번엔 도망칠 수 밖에 없었다. 하지만 다음 도약을 위한 움추림 일 것이다.",
11047,1000001,103,10000022,1002,20000001,매서운 칼바람도 우리를 막지 못한다. 진격하라 프란츠 제국이여.,
11048,1000001,103,10000022,1002,20000002,"유독 추운 이번겨울 때문인지 전투의 상처가 더 쓰라리다. 허나 우리만 그런 것은 아닐 것이다.",
11049,1000001,103,10000022,1002,20000003,"눈덮힌 전차와 붉은 꽃이 흩뿌려진 눈위로 프란츠 군복들이 나뒹굴고 있다.",
11050,1000001,103,10000023,1002,20000001,"기술의 우위에 있는 것이 전쟁에서 중요한 것이다. 박사에게 지원을 아끼지 말도록 하자.",
11051,1000001,103,10000023,1002,20000002,"비슷한 기술, 비슷한 전술. 그 어디가 낫다고 하기도 애매한 수준이다.",
11052,1000001,103,10000023,1002,20000003,"이번 전투는 기술들의 시험 목적이었다. 이제 검증된 무기들로 승리를 차지할 차례이다.",
11053,1000001,103,10000024,1002,20000001,"어느덧 길었던 전쟁의 끝이 보이는 것 같다. 이 터널 같은 곳에서 함께 이겨내준 병사들이 장하다.",
11054,1000001,103,10000024,1002,20000002,저메니의 공격을 막아냈다. 어서 이 전쟁이 끝나기를.,
11055,1000001,103,10000024,1002,20000003,"이 패배는 과연 역사에 어떻게 기록될까.. 그저 어서 전쟁이 끝나기를.",
11056,1000001,104,10000028,1003,20000001,첫 술에 배부를순 없다. 이 전쟁을 승리로 이끌어야 한다.,
11057,1000001,104,10000028,1003,20000002,"승리를 위한 첫 단추. 그것은 적을 아는 것. 저메니여, 이제 탐색은 끝났다.",
11058,1000001,104,10000028,1003,20000003,"이 패배는 승리를 위한 도약의 발판이니, 기죽지 마라 프란츠여.",
11059,1000001,104,10000029,1003,20000001,"부족한 상황에서도 프란츠의 병사들은 잘 해냈다. 우린 계속 강해질 것이다.",
11060,1000001,104,10000029,1003,20000002,"승리를 하기엔 여력이 없었다. 그럼에도 잘 버텨내준 병사들을 위해 내가 할 수 있는 것이 무엇일까?",
11061,1000001,104,10000029,1003,20000003,이번엔 어쩔수 없는 패배이다. 하지만 다음엔 다를 것이다.,
11062,1000001,104,10000030,1003,20000001,"연합군과의 공동 작전을 성공적으로 이끌었다. 연합군도 날 인정하는 분위기이다.",
11063,1000001,104,10000030,1003,20000002,"연합군이 없었다면 힘들었을 것이다. 그들 덕에 우린 저메니의 군세를 버텨낼 수 있었다.",
11064,1000001,104,10000030,1003,20000003,"우리도 많은 것을 잃었지만 저메니도 많은 것을 잃었을 것이다. 우리가 잃은 것에 너무 연연하지 말자.",
11065,1000001,104,10000031,1003,20000001,"마냥 기쁜 승리는 아니다. 잔혹한 승리의 대가는 무엇일까?",
11066,1000001,104,10000031,1003,20000002,저메니의 거센 공격에 패배하지 않았음에 만족해야 할 것이다.,
11067,1000001,104,10000031,1003,20000003,"이번 크리스마스는 슬픔이 가득하다. 이 슬픔을 다음 전투의 원동력으로 삼아야한다..",
11068,1000001,104,10000032,1003,20000001,"전쟁은 프란츠의 대승리로 끝났다. 무엇보다 박사의 무기들이 빛을 보였다.",
11069,1000001,104,10000032,1003,20000002,잘 견뎌냈다. 프란츠의 아들들이여. 하지만 승리는 아직 멀었다.,
11070,1000001,104,10000032,1003,20000003,"빛나는 칼날이 부러져 나뒹구는 것 처럼 우리의 병사들이 전장에 나뒹군다. 반드시 복수하리.",
11071,1000001,104,10000033,1003,20000001,"부디 이 승리가 마지막 전투가 되길. 그리고 프란츠에 영광이 함께하길.",
11072,1000001,104,10000033,1003,20000002,"이 전쟁에서 우리 병사들은 또한 견뎌냈다. 이번이 마지막 시련이길.",
11073,1000001,104,10000033,1003,20000003,이 쓰라린 패배가 처음은 아니지만 마지막이길 바란다.,
11074,1000001,106,10000038,1001,20000001,언제나 첫 승리는 기쁘다. 잠깐.. 언제나? 이 기시감은..,
11075,1000001,106,10000038,1001,20000002,첫술에 배부를 수는.. 이 말도 한 것 같은데? 이 기시감은..,
11076,1000001,106,10000038,1001,20000003,"분명 첫 전투는 탐색전이라고 생각했던 것 같다.. 이미 수많은 탐색전을 거친 것 같은 이 피곤함은 뭘까.",
11077,1000001,106,10000039,1001,20000001,"이 전투의 승리는 나 혼자서 해낸 것이 아닌 병사들과 폐하의 공이다.",
11078,1000001,106,10000039,1001,20000002,일보후퇴이다. 큰 승리를 위해 한번 물러나는 것도 방법이다.,
11079,1000001,106,10000039,1001,20000003,"폐하에겐 뭐라고 보고 드려야 할까.. 반드시 뭔가 이유있는 패배여야 할 것이다.",
11080,1000001,106,10000040,1001,20000001,승리의 기쁨으로도 박사와의 찜찜한 대화가 잊혀지지 않는다.,
11081,1000001,106,10000040,1001,20000002,"프란츠와 저메니에는 승리의 기쁨도 패배의 슬픔도 존재하지 않는다.",
11082,1000001,106,10000040,1001,20000003,이번 패배는 내가 집중하지 못해서다.. 너무 생각할 것이 많다.,
11083,1000001,106,10000041,1001,20000001,두 국가의 협의는 전쟁보다 어려운 것 같다.,
11084,1000001,106,10000041,1001,20000002,"협의가 있어서 였을까 양국의 전투가 그리 치열하지 않았던 것 같다.",
11085,1000001,106,10000041,1001,20000003,방심했다. 평화를 원한다고 믿었는데.. 저메니 놈들!,
11086,1000001,106,10000042,1001,20000001,씁쓸한 승리다. 나는 진정 누구를 믿어야 하는가.,
11087,1000001,106,10000042,1001,20000002,어중간한 결말. 이제 나도 지쳐가는 걸까.,
