ID,StoryNum,BG_ID,SFX_ID,OpeningCutScene,Text_kr,Text_en,Font_Direction
11001,1000002,100000001,Null,400000006,군사 학교를 졸업하고 나는 로디뷔의 작은 부대에 보급 부대의 지휘관으로 보내졌다.,,2000001
11002,1000002,100000001,1000000002,400000007,“지휘관님 이것 좀 보십쇼!”,,2000001
11003,1000002,100000001,Null,400000006,“부관. 무슨 일인가?”,,2000001
11004,1000002,100000001,Null,400000007,“전선의 지휘관을 차출하기 위해 국왕 폐하께서 직접 면접을 주관하신다고 합니다.”,,2000001
11005,1000002,100000001,Null,400000006,“나도 그 소식 들었네. 나도 지원할까 생각했지만.. 내 자리가 아니라는 생각이 들었네.”,,2000001
11006,1000002,100000001,Null,400000007,“아닙니다. 저는 지휘관님이 그 자리가 바로 지휘관님의 자리라고 생각합니다.”,,2000001
11007,1000002,100000001,Null,400000006,"“전투 경험도 전무하고..
전술이나 전투에 관해서는 내가 그리 재능이 있다고 생각되지는 않네.”",,2000001
11008,1000002,100000001,Null,400000007,"“지휘관님. 물자 수송에서 기발한 아이디어를 내신 것도,
저메니의 수송기차 공격을 미리 알고 대응하신 것.. 이런 것 말고도 많이 있습니다.”",,2000001
11009,1000002,100000001,Null,400000006,“그 정도는 내 동기들도 다 하는 거네. 자네가 날 너무 과대평가하는군.”,,2000001
11010,1000002,100000001,Null,400000006,“그래도 좋게 봐줘서 고맙네.”,,2000001
11011,1000002,100000001,Null,400000007,“이전까지만 해도 저희 부대는 최고로 약한 부대였습니다.”,,2000001
11012,1000002,100000001,Null,400000007,"“지휘관님이 오시고 병사들의 분위기도 많이 바뀌었고,
지금은 다른 지휘관들도 좋은 부대라고 하는 부대가 되지 않았습니까?”",,2000001
11013,1000002,100000001,Null,400000007,"“갓 입대한 신병, 문제 많아 전출된 병사.. 모두 지휘관님을 만나면
며칠도 안돼서 마치 형이나 아버지처럼 믿고 따르지 않습니까.”",,2000001
11014,1000002,100000001,Null,400000007,“지휘관님은 더 큰 기회를 잡을 자격이 충분하다고 생각합니다.”,,2000001
11015,1000002,100000001,Null,400000006,"“..고맙네. 그럼, 한번 지원해 보겠네.”",,2000001
11016,1000002,100000001,Null,Null,..,,2000001
11017,1000002,100000001,Null,400000001,부관과 병사들의 응원을 받고 나는 왕궁의 알현실 앞까지 왔다.,,2000001
11018,1000002,100000001,Null,400000001,주변을 둘러보니 다들 긴장한 표정이 역력하다.,,2000001
11019,1000002,100000001,Null,400000001,“저기.. 초콜릿 좀 드시겠어요? 긴장할 때는 단 음식이 좋습니다.”,,2000001
11020,1000002,100000001,Null,400000001,옆자리의 지휘관에게 초콜릿을 하나 건넸다.,,2000001
11021,1000002,100000001,Null,400000001,곧장 다른 지휘관들과도 이야기를 나누게 되었다.,,2000001
11022,1000002,100000001,1000000001,400000002,“다음 들어오시죠.”,,2000001
11023,1000002,100000001,Null,400000001,“아. 넵”,,2000001
11024,1000002,100000001,Null,400000001,다른 지휘관들과 이야기하다 보니 어느덧 내 차례가 되었고,,2000001
11025,1000002,100000001,Null,400000003,화려한 장식이 날 반겨주는 알현실로 들어섰다.,,2000001
11026,1000002,100000001,Null,400000004,“앞에 있는 좌석에 앉으면 되네.”,,2000001
11027,1000002,100000001,Null,400000003,경례를 하는 나에게 국왕 폐하는 눈길을 주지 않고 앞의 의자를 가리켰다.,,2000001
11028,1000002,100000001,Null,400000003,“네. 감사합니다.”,,2000001
11029,1000002,100000001,Null,400000003,자리에 앉은 나는 초조하게 국왕 폐하의 질문을 기다렸다.,,2000001
11030,1000002,100000001,Null,400000004,“로디뷔의 지휘관..이군. 물자 수송에 있어서 꽤 재능이 있어 보이는 구만.”,,2000001
11031,1000002,100000001,Null,400000004,“자네 부대의 물자 수송이 적습으로 손실되는 경우가 거의 없는 것을 보니..”,,2000001
11032,1000002,100000001,Null,400000003,"“네. 그렇습니다.
그동안 수송을 습격한 저메니의 방식을 통해 미리 막을 수 있었습니다.”",,2000001
11033,1000002,100000001,Null,400000004,"“분명 뛰어난 재능이야 그건.
그러나 그걸론 지금 이 중요한 상황에 지휘관의 자리를 맡길 수는 없네.”",,2000001
11034,1000002,100000001,Null,400000004,“지금 물자 부대에서도 잘하고 있는데 왜 전선으로 나가려고 하는 것인가?”,,2000001
11035,1000002,100000001,Null,400000004,"“뷜레라면.. 가문의 상황이 예전만큼 좋지 못한 것으로 아는데..
자네가 다시 가문을 일으켜 세우기 위해서 그러나?”",,2000001
11036,1000002,100000001,Null,400000003,"“아뇨. 저희 가문이 힘든 상황인 것은 맞지만,
자라오며 그것에 대해 불편함이나 부끄러움을 느낀 적은 없습니다.”",,2000001
11037,1000002,100000001,Null,400000003,“저희 부관과 병사들이 제가 이곳에 오기 전에 그런 말들을 해주었습니다.”,,2000001
11038,1000002,100000001,Null,400000003,“제 장점은 긍정적인 자세와 모두를 아우를 수 있는 친화력이라고.”,,2000001
11039,1000002,100000001,Null,400000003,"“지금 전장은 불안과 공포로 가득 차 있습니다.
이럴 때일수록 저 같은 사람이 전장에 새로운 활력을 불어넣어 줄 수 있다고 생각합니다.”",,2000001
11040,1000002,100000001,Null,400000004,"“동화 같은 이야기군. 지휘관.. 너무 듣기 좋은 이야기지만..
자네의 긍정, 그리고 활력 같은 불확실한 요소에 나라의 국운을 걸 수는 없네.”",,2000001
11041,1000002,100000001,Null,400000003,역시 그렇다. 그러나 최선을 다하지 않았는가.,,2000001
11042,1000002,100000001,Null,400000003,이제 끝났다 라는 생각과 함께 일어나고 있는 나를 폐하의 목소리가 멈춰 세웠다.,,2000001
11043,1000002,100000001,1000000009,400000004,“자..잠깐 기다려보게.. 음..”,,2000001
11044,1000002,100000001,Null,400000003,폐하는 오른쪽 귀에 손을 대고는 헛기침을 몇 번 했다.,,2000001
11045,1000002,100000001,Null,400000004,“흠..흠.. 박사..크흠.. 아니..이 자가..”,,2000001
11046,1000002,100000001,Null,400000004,“에헴..”,,2000001
11047,1000002,100000001,Null,400000003,고개를 돌리고 눈을 피하던 폐하는 헛기침을 크게 하더니 다시 나를 바라보았다.,,2000001
11048,1000002,100000001,Null,400000004,“음 확실히.. 전장에는 새로운 피가 필요하지.”,,2000001
11049,1000002,100000001,Null,400000004,“무엇보다 눈에 띄는 게 바로 추천서들과 높은 부대평가서군..”,,2000001
11050,1000002,100000001,Null,400000004,"“그리고 자네의 그 분석력과 친화력이라면 적진 분석부터
주변 부대와 작전 조율.. 연합국과의 작전 진행.. 모두 원활할 것 같네.”",,2000001
11051,1000002,100000001,Null,400000003,“좋게 봐주셔서 감사합니다.”,,2000001
11052,1000002,100000001,Null,400000003,갑자기 분위기가 좋아지기 시작한다.,,2000001
11053,1000002,100000001,Null,400000003,"내 지원서를 보며 밝은 얼굴로 칭찬하던 폐하는
좋은 기대 해봐도 좋겠다는 말까지 해주셨다.",,2000001
11054,1000002,100000001,Null,400000004,“결과는 아마 왕궁 중앙 우편국에서 결과지를 보내 줄 걸세.”,,2000001
11055,1000002,100000001,Null,400000003,“감사합니다. 폐하!”,,2000001
11056,1000002,100000001,1000000001,400000004,"힘찬 경례와 함께 복도로 나온 나는
문을 열어주신 친위대분께도 인사를 하고 복도를 걸어갔다.",,2000001
11057,1000002,100000001,Null,400000005,“이보게. 잠시만.”,,2000001
11058,1000002,100000001,Null,400000004,하얀 가운에 창백한 얼굴의 사람이 갑자기 옷깃을 잡는다.,,2000001
11059,1000002,100000001,Null,400000005,“자네 여기 단추가 떨어지려고 하는 구만.”,,2000001
11060,1000002,100000001,Null,400000004,“아 정말이군요. 감사합니다.”,,2000001
11061,1000002,100000001,Null,400000004,소매의 단추를 보니 떨어지려 하고 있었다.,,2000001
11062,1000002,100000001,Null,400000005,“자네 군인인가?”,,2000001
11063,1000002,100000001,Null,400000004,“네 지휘관입니다. 그쪽분은.. 박사님이신가요?”,,2000001
11064,1000002,100000001,Null,400000005,“누굴 다치게 할 만한 얼굴은 아니네만..”,,2000001
11065,1000002,100000001,Null,400000004,“저는 다치게 하는 사람이 아니고 지키는 사람이라고 생각합니다.”,,2000001
11066,1000002,100000001,Null,400000005,“좋은 대답이구만..”,,2000001
11067,1000002,100000001,Null,400000004,그자는 씨익 웃더니 뒤돌아 걸어갔다.,,2000001
11068,1000002,100000001,Null,400000005,“또 보길 기대하겠네. 지휘관.”,,2000001
