ID,StoryPac,StoryNum,AnswerLeftID,AnswerRightID,BG_ID,SFX_ID,CharacterName,Text_kr,Text_en,Back_ID,CharacterImg_ID,Font_Direction
10001,1000001,10000001,100001,100002,100000001,Null,Null,전쟁이 계속되던 어느날. 박사는 소개해 줄 사람이 있다며 나를 찾아왔다.,,300000001,Null,2000001
10002,1000001,10000001,100003,100004,100000001,Null,2,“이쪽은 나이팅게일이라고 하네. 지휘관. 크린 전쟁의 군 간호사였지”,,300000001,200000006,2000001
10003,1000001,10000001,100005,100006,100000001,Null,8,"“저도 당황스러웠어요. 갑자기 눈앞에 빛나는 푸른 구멍이 생기더니
슈뢰딩거 박사가 나타났죠.”",,300000001,200000059,2000001
10004,1000001,10000001,100007,100008,100000001,Null,8,“제가 도와줬으면 하는 일들이 있다고 하더군요.”,,300000001,200000059,2000001
10005,1000001,10000001,100009,100010,100000001,Null,8,“좋습니다. 이 시대의 의료시설은 얼마나 발전해 있을지 기대가 되는군요.”,,300000001,200000059,2000001
10006,1000001,10000001,100011,100012,100000001,Null,8,"“흠.. 이건 뭘 하는거죠? 이건..?”
나이팅게일은 눈을 반짝이며 기계들을 만지며 의료장교에게 질문을 한다.",,300000005,200000059,2000001
10007,1000001,10000001,100013,100014,100000001,Null,8,“역시 미래의 의료시설들은 좋네요.. 우리 시대에 있었다면.. 더 많은 사람들을 살렸을 텐데..”,,300000005,200000059,2000001
10008,1000001,10000001,100015,100016,100000001,Null,8,"“말씀 정말 감사해요. 흠.. 장비들을 보니 병사들을 위해 할 수있는 것들이 떠오르네요.
어디까지나 조언이니 지휘관이 판단해 주시죠.”",,300000005,200000059,2000001
10009,1000001,10000001,100017,100018,100000001,Null,8,“좋습니다. 이 시대의 의약품들은 과연 제 시대의 병들을 얼마나 이겨냈을지 궁금하네요.”,,300000001,200000059,2000001
10010,1000001,10000001,100019,100020,100000001,Null,8,"“이 약품은 어디에 쓰이는 거죠? 그리고 이건..”
나이팅게일은 눈을 반짝이며 의료장교에게 약들에대해 물어본다.",,300000024,200000059,2000001
10011,1000001,10000001,100021,100022,100000001,Null,8,"“아뇨. 오히려 이런 약품들이 우리 시대에도 있었다면..
허무하게 죽는 사람들이 적었을 텐데..”",,300000024,200000059,2000001
10012,1000001,10000001,100023,100024,100000001,Null,8,"“말씀 정말 감사해요. 흠.. 장비들을 보니 병사들을 위해 할 수있는 것들이 떠오르네요.
어디까지나 조언이니 지휘관이 판단해 주시죠.”",,300000024,200000059,2000001
10013,1000001,10000002,100025,100026,100000001,Null,Null,전쟁이 계속되던 어느날. 박사는 소개해 줄 사람이 있다며 나를 찾아왔다.,,300000001,Null,2000001
10014,1000001,10000002,100027,100028,100000001,Null,2,“최근에 전술로 고민하는게 많이 보여서 오늘은 좀 이야기 할 만한 사람을 모셔왔네”,,300000001,200000006,2000001
10015,1000001,10000002,100029,100030,100000001,Null,9,"“반갑소. 나는 아미리칸의 공군참모총장 커티스 르메이요.”
르메이는 호쾌하게 내손을 잡고 힘차게 흔든다.",,300000001,200000060,2000001
10016,1000001,10000002,100031,100032,100000001,Null,9,“흠 작전 테이블을 보아하니.. 공습을 준비 중인가 보군?”,,300000001,200000060,2000001
10017,1000001,10000002,100033,100034,100000001,Null,9,“그래 어떤게 고민인가?”,,300000001,200000060,2000001
10018,1000001,10000002,100035,100036,100000001,Null,9,"“하하하! 자네와는 말이 잘 통하겠구만!”
르메이는 호탕하게 웃으며 작전판을 유심히 본다.",,300000001,200000061,2000001
10019,1000001,10000002,100037,100038,100000001,Null,9,"“뭐 결국 자네의 선택이겠지만..
나라면 이곳에 핵무기라도 떨어뜨리겠지만.. 그건 안되겠지.”",,300000001,200000060,2000001
10020,1000001,10000002,100039,100040,100000001,Null,9,"“이해가 빠르군. 흠.. 우위를 점하기 위해서
전방폭격을 강한 화력으로 몰아 붙이는 것이 좋을 것 같네.”",,300000001,200000060,2000001
10021,1000001,10000002,100041,100042,100000001,Null,9,“흠.. 아직 프란츠는 이 폭탄에 대해서 사용전적이 많지 않으니 고민되는게 당연하군..”,,300000001,200000060,2000001
10022,1000001,10000002,100043,100044,100000001,Null,9,"“하하하! 정말 맘에 드는 친구군! 이 폭탄의 진가는 전투기를 통한 대량 폭격을 할 때 라네.
전방 폭격으로 저메니를 석기시대로 돌려 놓는거지.”",,300000001,200000061,2000001
10023,1000001,10000002,100045,100046,100000001,Null,9,“나라면 무조건 승인 할 텐데. 어떤 고민이 있는 건가?”,,300000001,200000060,2000001
